Quote,Book,Word Count,Topic 1,Purpose,Topic_1_clean,Purpose_clean,word_count,char_count,norm_word_count,norm_char_count,is_short,is_medium,is_long,book
"dreams come from the past, not from the future. dreams shouldnt control you--you should control them.","Blind Willow, Sleeping Woman: 24 Stories",17,"dreams, control, past","empowerment, determination, independence","['dreams', 'control', 'past']","['empowerment', 'determination', 'independence']",16,101,0.05333333333333334,0.0505,1,0,0,"Blind Willow, Sleeping Woman: 24 Stories"
"no matter where i go, i still end up me. whats missing never changes. the scenery may change, but im still the same incomplete person. the same missing elements torture me with a hunger that i can never satisfy. i think that lack itself is as close as ill come to defining myself.","South of the Border, West of the Sun",53,"identity, incompleteness, self-definition","longing, introspection, existentialism","['identity', 'incompleteness', 'self-definition']","['longing', 'introspection', 'existentialism']",53,280,0.17666666666666667,0.14,1,0,0,"South of the Border, West of the Sun"
but what seems like a reasonable distance to one person might feel too far to somebody else.,After Dark,17,"distance, perception","perspective, subjectivity","['distance', 'perception']","['perspective', 'subjectivity']",17,92,0.056666666666666664,0.046,1,0,0,After Dark
"this is one more piece of advice i have for you dont get impatient. even if things are so tangled up you cant do anything, dont get desperate or blow a fuse and start yanking on one particular thread before its ready to come undone. you have to realize its going to be a long process and that youll work on things slowly, one at a time.",Norwegian Wood,67,"patience, process, unraveling","perseverance, hope, calmness","['patience', 'process', 'unraveling']","['perseverance', 'hope', 'calmness']",67,336,0.22333333333333333,0.168,1,0,0,Norwegian Wood
"these days i just cant seem to say what i mean ... . i just cant. every time i try to say something, it misses the point. either that or i end up saying the opposite of what i mean. the more i try to get it right the more mixed up it gets. sometimes i cant even remember what i was trying to say in the first place. its like my bodys split in two and one of me is chasing the other me around a big pillar. were running circles around it. the other me has the right words, but i can never catch her.","Blind Willow, Sleeping Woman: 24 Stories",106,"Communication, confusion, memory","Frustration, ambiguity, uncertainty","['communication', 'confusion', 'memory']","['frustration', 'ambiguity', 'uncertainty']",107,498,0.3566666666666667,0.249,0,1,0,"Blind Willow, Sleeping Woman: 24 Stories"
loneliness becomes an acid that eats away at you.,1Q84,9,"loneliness, acid, erosion","melancholy, reflection","['loneliness', 'acid', 'erosion']","['melancholy', 'reflection']",9,49,0.03,0.0245,1,0,0,1Q84
that s how stories happen,Kafka on the Shore,4,"fate, storytelling, interconnectedness","wonder, revelation, introspection","['fate', 'storytelling', 'interconnectedness']","['wonder', 'revelation', 'introspection']",5,25,0.016666666666666666,0.0125,1,0,0,Kafka on the Shore
"dont pointless things have a place, too, in this far-from-perfect world?",Sputnik Sweetheart,11,"imperfection, existence, purpose","contemplation, acceptance, empathy","['imperfection', 'existence', 'purpose']","['contemplation', 'acceptance', 'empathy']",11,72,0.03666666666666667,0.036,1,0,0,Sputnik Sweetheart
"beyond the edge of the world there s a space where emptiness and substance neatly overlap, where past and future form a continuous, endless loop. and, hovering about, there are signs no one has ever read, chords no one has ever heard.",Kafka on the Shore,41,"emptiness, substance, past, future","mystery, unexplored, wonder, curiosity","['emptiness', 'substance', 'past', 'future']","['mystery', 'unexplored', 'wonder', 'curiosity']",42,234,0.14,0.117,1,0,0,Kafka on the Shore
which is why i am writing this book. to think. to understand. it just happens to be the way im made. i have to write things down to feel i fully comprehend them.,Norwegian Wood,33,"introspection, self-understanding, writing","clarity, comprehension, self-expression, catharsis","['introspection', 'self-understanding', 'writing']","['clarity', 'comprehension', 'self-expression', 'catharsis']",33,161,0.11,0.0805,1,0,0,Norwegian Wood
there are ways of dying that dont end in funerals. types of death you cant smell.,"Blind Willow, Sleeping Woman",16,"death, hidden, invisible","mystery, contemplation, revelation","['death', 'hidden', 'invisible']","['mystery', 'contemplation', 'revelation']",16,81,0.05333333333333334,0.0405,1,0,0,"Blind Willow, Sleeping Woman"
"ive always done whatever i felt like doing in life. people may try to stop me, and convince me im wrong, but i wont change.",What I Talk About When I Talk About Running,25,"individuality, resistance, defiance","determination, conviction, empowerment","['individuality', 'resistance', 'defiance']","['determination', 'conviction', 'empowerment']",25,123,0.08333333333333333,0.0615,1,0,0,What I Talk About When I Talk About Running
"i hurt myself deeply, though at the time i had no idea how deeply. i should have learned many things from that experience, but when i look back on it, all i gained was one single, undeniable fact. that ultimately i am a person who can do evil. i never consciously tried to hurt anyone, yet good intentions notwithstanding, when necessity demanded, i could become completely self-centred, even cruel. i was the kind of person who could, using some plausible excuse, inflict on a person i cared for a wound that would never heal.","South of the Border, West of the Sun",94,"self-discovery, inner darkness","introspection, realization, remorse","['self-discovery', 'inner darkness']","['introspection', 'realization', 'remorse']",94,527,0.31333333333333335,0.2635,0,1,0,"South of the Border, West of the Sun"
some things in life are too complicated to explain in any language.,Colorless Tsukuru Tazaki and His Years of Pilgrimage,12,"complexity, communication","enigma, contemplation","['complexity', 'communication']","['enigma', 'contemplation']",12,67,0.04,0.0335,1,0,0,Colorless Tsukuru Tazaki and His Years of Pilgrimage
"instead of things im good at, it might be faster to list the things i cant do. i cant cook or clean the house. my rooms a mess, and im always losing things. i love music, but i cant sing a note. im clumsy and can barely sew a stitch. my sense of direction is the pits, and i cant tell left from right half the time. when i get angry, i tend to break things. plates and pencils, alarm clocks. later on i regret it, but at the time i cant help myself. i have no money in the bank. im bashful for no reason, and i have hardly any friends to speak of.",Sputnik Sweetheart,115,"self-doubt, inadequacy, limitations","vulnerability, self-awareness, acceptance","['self-doubt', 'inadequacy', 'limitations']","['vulnerability', 'self-awareness', 'acceptance']",115,547,0.38333333333333336,0.2735,0,1,0,Sputnik Sweetheart
"as i see it, you are living with something that you keep hidden deep inside. something heavy. i felt it from the first time i met you. you have a strong gaze, as if you have made up your mind about something. to tell you the truth, i myself carry such things around inside. heavy things. that is how i can see it in you.",1Q84,65,"hidden burdens, inner strength","empathy, understanding, connection","['hidden burdens', 'inner strength']","['empathy', 'understanding', 'connection']",65,320,0.21666666666666667,0.16,1,0,0,1Q84
things like that happen all the time in this great big world of ours. its like taking a boat out on a beautiful lake on a beautiful day and thinking both the sky and the lake are beautiful. so stop eating yourself up alive. things will go where theyre supposed to go if you just let them take their natural course.,Norwegian Wood,61,"beauty, acceptance, journey","comfort, surrender, trust, resilience","['beauty', 'acceptance', 'journey']","['comfort', 'surrender', 'trust', 'resilience']",61,314,0.20333333333333334,0.157,1,0,0,Norwegian Wood
